"Max Planck Institute for Biology and Ageing,50.925294,6.919318"
"Lancaster University, Lancaster, UK,54.010394,-2.787729"
"Stanford University, Stanford CA,37.427475,-122.169719"
"University of Texas, Austin TX,30.284919,-97.734057"
"Ben Gurion University, Beer Sheva, Israe,31.262218,34.801461"
"Amherst College, Amherst MA,42.37091,-72.517003"
"International Institute of Molecular and Cell Biology in Warsaw, Warsaw, Poland,52.206558,20.978919"
"Waksman Institute, Piscataway NJ,40.522651,-74.471659"
"Harvard University, Cambridge, MA,42.377003,-71.11666"
"Massachusetts General Hospital, Charlestown, MA,42.377102,-71.064336"
"ETH Zurich, Zurich, Switzerland,47.390059,8.516325"
"East Virginia Medical School, Norfolk VA,36.860402,-76.303605"
"Ohio State University, Wooster, OH,40.775025,-81.923104"
"Cleveland State University, Cleveland OH,41.502497,-81.674718"
"NCI, Frederick MD,39.43668,-77.434774"
"University of Wisconsin, Milwaukee W,43.078263,-87.881969"
"Salk Institute, La Jolla CA,32.887392,-117.245343"
"Fairfield University, Fairfield CT, USA.,41.158764,-73.257362"
"Johns Hopkins University, Baltimore, MD,39.329901,-76.620518"
"Boston University School of Medicine, Boston, MA,42.336126,-71.072135"
"University of Pittsburgh, Pittsburgh PA,40.444353,-79.960835"
"UMDNJ, Piscataway NJ,40.525633,-74.47058"
"University of Zurich, Zurich, Switzerland,47.374322,8.550981"
"Uppsala University, Uppsala, Sweden,59.8509,17.630009"
"Northwestern University, Chicago IL,42.056459,-87.675267"
"University of Delaware, Newark, DE,39.67795,-75.750611"
"Concordia University, Montreal, Canada,45.458111,-73.640284"
"Catholic Univ of America, Washington DC,38.936881,-76.998692"
"University of Sydney, Sydney, Australia,-33.888584,151.187347"
"St. Catherine University, St. Paul, MN,44.925308,-93.182822"
"University of Potsdam,Institute for Biochemistry and Biology, Karl-Liebknecht-Str. 24 - 25, Haus 26, 14476 Golm, GERMANY.,FAILED,FAILED"
"University of Illinois, Chicago IL,41.870645,-87.650975"
"University of Texas Health Science Center, TX,29.703418,-95.403045"
"Technion-IIT, Haifa, Israel,32.776778,35.023127"
"University of Toronto, Ontario, Canada,43.662892,-79.395656"
"Northwestern University, Evanston IL,42.056459,-87.675267"
"University of Oxford, Oxford, England,51.754816,-1.254367"
"University of Liverpool, Liverpool, UK,53.405936,-2.965572"
"Southwestern Oklahoma State University, OK,35.53555,-98.707797"
"University of Maryland, College Park MD,38.986918,-76.942554"
"Princeton University, Princeton, NJ,40.343989,-74.651448"
"Suffolk University, Boston, MA,42.358521,-71.061356"
"Centre for Genomic Regulation (CRG), Barcelona, Spain,41.385379,2.194052"
"University of Haifa at Oranim, Tivon, Israel,32.711224,35.109579"
"Baylor College of Medicine, Houston TX,29.710529,-95.396241"
"LBMC-ENS Lyon, France,FAILED,FAILED"
"University of Toronto, Toronto, Ontario, Canada,43.784127,-79.186846"
"Universidad Catolica de Chile, Santiago, Chile,-33.441128,-70.640793"
"MDIBL, Salisbury Cove ME,44.432094,-68.290329"
"Okazaki Institute for Integrative Science, Okazaki, Aichi, Japan,34.948856,137.164726"
"University of Fribourg, Fribourg, Switzerland,46.806357,7.152006"
"University of Sydney, Camperdown, Australia,-33.888584,151.187347"
"Whitworth University, Spokane, WA,47.754873,-117.417862"
"University of Oxford, Oxford, England,51.754816,-1.254367"
"University of Warwick, Coventry, UK,52.379253,-1.56147"
"University of Rochester Medical Center, Rochester, NY,43.12305,-77.62694"
"MRC-LMB, Cambridge, England,52.175121,0.13328"
"FHCRC, Seattle WA,47.627263,-122.331486"
"UCLA, Los Angeles CA,34.068921,-118.445181"
"University of Washington, Seattle, WA,47.655335,-122.30352"
"Fundacion Instituto Leloir, Buenos Aires, Argentina,-34.604282,-58.434145"
"University of Toronto, Canada,43.662892,-79.395656"
"NC State University, Raleigh, NC,35.784663,-78.682095"
"Worcester Polytechnic Institute, Worcester MA,42.274637,-71.806339"
"The Ohio State University, Columbus, OH,40.014191,-83.030914"
"University of Sheffield, Sheffield, England,53.380941,-1.487947"
"Ohio University, Athens OH,39.324358,-82.101389"
"Kennesaw State University, Kennesaw, GA,34.038078,-84.581572"
"Karolinska Institute, Stockholm, Sweden,59.348148,18.023658"
"Massachusetts General Hospital, Boston MA,42.363176,-71.06883"
